,name,link,ac,health,strength,dexterity,constitution,intelligence,wisdom,charisma
0,Аластра,/bestiary/7758-alastrah/,10,4,2,0,0,0,0,0
1,Альмираж,/bestiary/1313-almiraj/,13,3,-4,3,0,-4,2,0
2,Арабэлль,/bestiary/4679-arabelle/,10,2,0,0,0,0,0,0
3,Ааракокра симулякр,/bestiary/7756-aarakocra_simulacrum/,12,6,0,2,0,0,1,0
4,Ааракокра,/bestiary/30-aarakocra/,12,13,0,2,0,0,1,0
5,Анарх,/bestiary/10542-anarch/,13,11,2,1,1,-1,0,0
6,Агата Серебряная ложка,/bestiary/7885-agathe_silverspoon/,13,15,3,1,3,-2,0,0
7,Амфисбена,/bestiary/7169-amphisbaena/,14,11,2,4,1,-4,0,-4
8,Амфисбена,/bestiary/7498-amphisbaena/,14,11,2,4,1,-4,0,-4
9,Аазон Талиери,/bestiary/6047-aazon_talieri/,12,27,0,2,0,1,2,3
10,Алдани (Лобстеролюд),/bestiary/1314-aldani_lobsterfolk/,14,49,1,-1,1,0,2,0
11,Альсеид,/bestiary/7159-alseid/,15,22,2,0,1,1,2,4
12,Архелон,/bestiary/5962-archelon/,14,26,3,1,2,-4,1,-3
13,Архелон зомби,/bestiary/5980-archelon_zombie/,11,26,3,-2,2,-5,-1,-4
14,Астральная зараза,/bestiary/9251-astral_blight/,12,26,3,-1,2,-2,0,-4
15,Аартук звездный ужас,/bestiary/8700-aartuk_starhorror/,14,52,1,0,2,1,3,0
16,Аартук травянник,/bestiary/8701-aartuk_weedling/,15,38,2,1,1,0,1,0
17,Ави,/bestiary/5103-avi/,13,27,0,0,1,1,3,1
18,Автогном,/bestiary/8707-autognome/,16,39,1,-2,3,-3,0,-2
19,Агдон Длинный шарф,/bestiary/8432-agdon_longscarf/,19,36,0,5,0,0,2,3
20,Акулотелое отродье,/bestiary/7443-sharkbody_abomination/,12,45,4,1,2,-5,0,-3
21,Аллозавр,/bestiary/88-allosaurus/,13,51,4,1,3,-4,1,-3
22,Аллозавр зомби,/bestiary/5979-allosaurus_zombie/,11,51,4,-1,3,-5,-2,-4
23,Алоизия Телфан,/bestiary/7887-aloysia_telfan/,12,66,0,2,1,2,0,3
24,Андер,/bestiary/12562-ander/,13,67,3,1,3,-1,0,-1
25,Аниматронный аллозавр,/bestiary/12689-animatronic_allosaurus/,13,51,4,1,3,-4,1,-3
26,Анхег,/bestiary/38-ankheg/,14,39,3,0,1,-5,1,-2
27,Ардра Желчь,/bestiary/9256-fel_ardra/,13,33,0,2,1,0,1,2
28,Арло Киттлтоу (1-4 уровня),/bestiary/12714-arlo_kettletoe_levels_1_4_/,15,65,2,3,2,2,0,2
29,Архонт-светоч,/bestiary/13039-lantern_archon/,13,22,-5,3,1,-2,1,1
30,Ауспиция Дран,/bestiary/7478-auspicia_dran/,15,52,3,2,2,2,1,0
31,Ашара,/bestiary/6024-asharra/,12,31,0,2,0,2,3,0
32,Аартук-старейшина,/bestiary/8699-aartuk_elder/,16,75,4,0,2,1,2,1
33,Адепт боевых искусств,/multiverse/bestiary/6829-martial_arts_adept/,16,60,0,3,1,0,3,0
34,Адепт боевых искусств Жентарима,/bestiary/5185-zhent_martial_arts_adept/,16,49,0,3,1,0,3,0
35,Адская гончая,/bestiary/197-hell_hound/,15,45,3,1,2,-2,1,-2
36,Айо Джабе (1-го уровня),/bestiary/7790-ayo_jabe_tier_1_/,14,65,2,2,2,0,1,1
37,Акросский гоплит,/bestiary/7122-akroan_hoplite/,18,52,3,3,2,0,2,1
38,Алагартхас,/bestiary/8426-alagarthas/,10,52,3,0,2,0,0,2
