,name,link,ac,health,strength,dexterity,constitution,intelligence,wisdom,charisma
0,Аластра,/bestiary/7758-alastrah/,0.25,0.004405286343612335,0.4666666666666667,0.35714285714285715,0.2857142857142857,0.3333333333333333,0.35714285714285715,0.3333333333333333
1,Альмираж,/bestiary/1313-almiraj/,0.4,0.002936857562408223,0.06666666666666667,0.5714285714285714,0.2857142857142857,0.06666666666666667,0.5,0.3333333333333333
2,Арабэлль,/bestiary/4679-arabelle/,0.25,0.0014684287812041115,0.3333333333333333,0.35714285714285715,0.2857142857142857,0.3333333333333333,0.35714285714285715,0.3333333333333333
3,Ааракокра симулякр,/bestiary/7756-aarakocra_simulacrum/,0.35,0.007342143906020558,0.3333333333333333,0.5,0.2857142857142857,0.3333333333333333,0.42857142857142855,0.3333333333333333
4,Ааракокра,/bestiary/30-aarakocra/,0.35,0.01762114537444934,0.3333333333333333,0.5,0.2857142857142857,0.3333333333333333,0.42857142857142855,0.3333333333333333
5,Анарх,/bestiary/10542-anarch/,0.4,0.014684287812041116,0.4666666666666667,0.42857142857142855,0.35714285714285715,0.26666666666666666,0.35714285714285715,0.3333333333333333
6,Агата Серебряная ложка,/bestiary/7885-agathe_silverspoon/,0.4,0.020558002936857563,0.5333333333333333,0.42857142857142855,0.5,0.2,0.35714285714285715,0.3333333333333333
7,Амфисбена,/bestiary/7169-amphisbaena/,0.45,0.014684287812041116,0.4666666666666667,0.6428571428571429,0.35714285714285715,0.06666666666666667,0.35714285714285715,0.06666666666666667
8,Амфисбена,/bestiary/7498-amphisbaena/,0.45,0.014684287812041116,0.4666666666666667,0.6428571428571429,0.35714285714285715,0.06666666666666667,0.35714285714285715,0.06666666666666667
9,Аазон Талиери,/bestiary/6047-aazon_talieri/,0.35,0.0381791483113069,0.3333333333333333,0.5,0.2857142857142857,0.4,0.5,0.5333333333333333
10,Алдани (Лобстеролюд),/bestiary/1314-aldani_lobsterfolk/,0.45,0.07048458149779736,0.4,0.2857142857142857,0.35714285714285715,0.3333333333333333,0.5,0.3333333333333333
11,Альсеид,/bestiary/7159-alseid/,0.5,0.030837004405286344,0.4666666666666667,0.35714285714285715,0.35714285714285715,0.4,0.5,0.6
12,Архелон,/bestiary/5962-archelon/,0.45,0.03671071953010279,0.5333333333333333,0.42857142857142855,0.42857142857142855,0.06666666666666667,0.42857142857142855,0.13333333333333333
13,Архелон зомби,/bestiary/5980-archelon_zombie/,0.3,0.03671071953010279,0.5333333333333333,0.21428571428571427,0.42857142857142855,0.0,0.2857142857142857,0.06666666666666667
